danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,song_popularity
0.791,0.745,11,-3.695,0,0.0464,0.354,2.93e-05,0.104,0.82,94.014,audio_features,2ijef6ni2amuunRoKTlgww,spotify:track:2ijef6ni2amuunRoKTlgww,https://api.spotify.com/v1/tracks/2ijef6ni2amuunRoKTlgww,https://api.spotify.com/v1/audio-analysis/2ijef6ni2amuunRoKTlgww,188560,4,Sin Pijama,71
0.798,0.74,11,-4.865,1,0.0458,0.0419,1.84e-06,0.157,0.834,128.054,audio_features,1cSXzDZt8vzuUp2XREQEJN,spotify:track:1cSXzDZt8vzuUp2XREQEJN,https://api.spotify.com/v1/tracks/1cSXzDZt8vzuUp2XREQEJN,https://api.spotify.com/v1/audio-analysis/1cSXzDZt8vzuUp2XREQEJN,219720,4,Atemlos durch die Nacht,69
0.773,0.849,8,-8.345,0,0.0587,0.057,0.0103,0.397,0.913,119.981,audio_features,00vk0sEfb6mr2ehwSw0Uhn,spotify:track:00vk0sEfb6mr2ehwSw0Uhn,https://api.spotify.com/v1/tracks/00vk0sEfb6mr2ehwSw0Uhn,https://api.spotify.com/v1/audio-analysis/00vk0sEfb6mr2ehwSw0Uhn,192227,4,Don't Be So Shy - Filatov & Karas Remix,60
0.636,0.815,5,-5.098,0,0.0581,0.0185,0.0,0.163,0.636,123.063,audio_features,5tf1VVWniHgryyumXyJM7w,spotify:track:5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/tracks/5tf1VVWniHgryyumXyJM7w,https://api.spotify.com/v1/audio-analysis/5tf1VVWniHgryyumXyJM7w,219043,4,Sugar (feat. Francesco Yates),82
0.722,0.744,11,-5.52,0,0.0363,0.0234,0.000157,0.143,0.686,125.985,audio_features,0KsB4TwgATg88aXCMBoO3Y,spotify:track:0KsB4TwgATg88aXCMBoO3Y,https://api.spotify.com/v1/tracks/0KsB4TwgATg88aXCMBoO3Y,https://api.spotify.com/v1/audio-analysis/0KsB4TwgATg88aXCMBoO3Y,207630,4,Breathe,62
0.76,0.886,9,-5.356,0,0.0258,0.0219,7.43e-06,0.623,0.78,123.002,audio_features,0uVyZywUNOp6S0dU5r8TS8,spotify:track:0uVyZywUNOp6S0dU5r8TS8,https://api.spotify.com/v1/tracks/0uVyZywUNOp6S0dU5r8TS8,https://api.spotify.com/v1/audio-analysis/0uVyZywUNOp6S0dU5r8TS8,189399,4,Prayer in C - Robin Schulz Radio Edit,72
0.433,0.724,5,-6.126,0,0.0372,0.1,0.0,0.0918,0.689,174.006,audio_features,3SqvR3HYLlCTYzbDXJ52OC,spotify:track:3SqvR3HYLlCTYzbDXJ52OC,https://api.spotify.com/v1/tracks/3SqvR3HYLlCTYzbDXJ52OC,https://api.spotify.com/v1/audio-analysis/3SqvR3HYLlCTYzbDXJ52OC,268105,4,Lost on You,74
0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,Perfect,91
0.791,0.862,9,-3.24,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847,4,One Kiss (with Dua Lipa),90
0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,audio_features,3jvpPbTJqfyKvEOtOsn83m,spotify:track:3jvpPbTJqfyKvEOtOsn83m,https://api.spotify.com/v1/tracks/3jvpPbTJqfyKvEOtOsn83m,https://api.spotify.com/v1/audio-analysis/3jvpPbTJqfyKvEOtOsn83m,163216,4,Body,53
0.706,0.74,6,-7.904,1,0.0325,0.0245,0.512,0.135,0.444,122.007,audio_features,1HrMWH5GUdK6Yi94rbANJA,spotify:track:1HrMWH5GUdK6Yi94rbANJA,https://api.spotify.com/v1/tracks/1HrMWH5GUdK6Yi94rbANJA,https://api.spotify.com/v1/audio-analysis/1HrMWH5GUdK6Yi94rbANJA,223869,3,Cola,75
0.653,0.81,7,-6.032,0,0.0558,0.118,0.0,0.126,0.583,121.951,audio_features,32y9LSjv2Q49T3NnkETXCm,spotify:track:32y9LSjv2Q49T3NnkETXCm,https://api.spotify.com/v1/tracks/32y9LSjv2Q49T3NnkETXCm,https://api.spotify.com/v1/audio-analysis/32y9LSjv2Q49T3NnkETXCm,189307,4,OK,62
0.792,0.895,1,-3.112,0,0.0589,0.165,0.0,0.0501,0.794,94.968,audio_features,4QtiVmuA88tPQiCOHZuQ5b,spotify:track:4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/tracks/4QtiVmuA88tPQiCOHZuQ5b,https://api.spotify.com/v1/audio-analysis/4QtiVmuA88tPQiCOHZuQ5b,201526,4,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",74
0.575,0.866,8,-4.299,0,0.246,0.0204,6.39e-06,0.188,0.486,179.869,audio_features,0UMLejbZXf7YVgnfxURvVr,spotify:track:0UMLejbZXf7YVgnfxURvVr,https://api.spotify.com/v1/tracks/0UMLejbZXf7YVgnfxURvVr,https://api.spotify.com/v1/audio-analysis/0UMLejbZXf7YVgnfxURvVr,210288,4,Ignite (feat. SEUNGRI),0
0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,audio_features,2hoigtnMAjSejRi1hHk99w,spotify:track:2hoigtnMAjSejRi1hHk99w,https://api.spotify.com/v1/tracks/2hoigtnMAjSejRi1hHk99w,https://api.spotify.com/v1/audio-analysis/2hoigtnMAjSejRi1hHk99w,193321,4,Born To Be Yours,53
0.712,0.816,10,-4.141,0,0.0487,0.000162,0.000376,0.0566,0.531,124.02,audio_features,4NISCj1aFWSQHvL84esmG0,spotify:track:4NISCj1aFWSQHvL84esmG0,https://api.spotify.com/v1/tracks/4NISCj1aFWSQHvL84esmG0,https://api.spotify.com/v1/audio-analysis/4NISCj1aFWSQHvL84esmG0,266997,4,Rise - Jonas Blue & Eden Prince Club Mix,36
0.683,0.665,0,-8.472,1,0.0462,0.123,0.0,0.45,0.366,120.014,audio_features,7joeM99fTgDWmSydhdW87s,spotify:track:7joeM99fTgDWmSydhdW87s,https://api.spotify.com/v1/tracks/7joeM99fTgDWmSydhdW87s,https://api.spotify.com/v1/audio-analysis/7joeM99fTgDWmSydhdW87s,149009,4,Melody,39
0.609,0.726,5,-4.346,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,audio_features,33IOhptvC2Qoy2UhjiHXLV,spotify:track:33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/tracks/33IOhptvC2Qoy2UhjiHXLV,https://api.spotify.com/v1/audio-analysis/33IOhptvC2Qoy2UhjiHXLV,195000,4,Flames,70
